Name Mosin-Nagant
ShortName MosinNagant
//The ammo this gun uses (shortName)
Ammo MosinNagantAmmo
Icon MosinNagant
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 60
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, MosinNagantSniper = 20
//Damage in half hearts
Damage 16
//The higher this value, the more the bullets spread
Accuracy 4
//Time in ticks between rounds
ShootDelay 40
ShootSound MosinNagantShoot
ReloadSound Kar98kReload
Mode SemiAuto
IgnoreArmorProbability 0.5
IgnoreArmorDamageFactor 1.0
//Modifiers
MoveSpeedModifier 0.85
//Bullet speed, default 3.0
BulletSpeed 100.0
Scope None
Deployable False
DeployedModel None
Model W44.MosinNagant
Texture SkinMosinNagant
ModelScale 0.25
AllowAttachments OpticalSight
AllowBarrelAttachments false
AllowScopeAttachments true
AllowStockAttachments false
AllowGripAttachments false

//Recoil
Recoil 4.25
RandomRecoilRange 3.00
RandomRecoilYawRange 2.50
DecreaseRecoil 0.75
DecreaseRecoilYaw 1.25

Description Soviet Bolt-Action Rifle
