Name PPs-43
ShortName PPs43
//The ammo this gun uses (shortName)
Ammo PPs43Ammo
Icon PPs43
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 53
//The amount of gun recoil, all relative : Sten = 1, PPs43 = 3, PPs43Sniper = 20
//Damage in half hearts
Damage 5
//The higher this value, the more the bullets spread
Accuracy 7
//Time in ticks between rounds
ShootDelay 2
ShootSound PPs43Shoot
ReloadSound Mp40Reload
Mode FullAuto SemiAuto
IgnoreArmorProbability 0.5
IgnoreArmorDamageFactor 1.0
//Modifiers
MoveSpeedModifier 0.9
//Bullet speed, default 3.0
BulletSpeed 100.0
Scope None
Deployable False
DeployedModel None
Model W44.PPs43
Texture SkinPPs43
ModelScale 0.32
AllowAttachments OpticalSight
AllowBarrelAttachments false
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments false

//Recoil
Recoil 3
RandomRecoilRange 1.00
RandomRecoilYawRange 1.0
DecreaseRecoil 0.75
DecreaseRecoilYaw 1.25

Description Soviet Sub Machine Gun
